2016年 06月 01日 星期三 16:21:41 CST
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:2 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     1         2.00139             678.99
           0        tcp     0     1         3.00179            679.667
           0        tcp     0     1         4.00338            691.126
           0        tcp     0     1         5.00771            681.078
           0        tcp     0     1         6.01189            689.343
           0        tcp     0     1         7.01527            681.732
           0        tcp     0     1         8.01948            693.398
           0        tcp     0     1         9.02103            687.064
           0        tcp     0     1         10.0259            688.849
           0        tcp     0     1         11.0283            682.429
           0        tcp     0     1         12.0323            681.282
           0        tcp     0     1         13.0329            683.624
           0        tcp     0     1         14.0336            687.679
           0        tcp     0     1         15.0401            691.816
           0        tcp     0     1         16.0442            689.379
           0        tcp     0     1         17.0448            683.642
           0        tcp     0     1         18.0473            678.218
           0        tcp     0     1         19.0498            682.321
           0        tcp     0     1         20.0554            692.449
           0        tcp     0     1         21.0588            681.714
           0        tcp     0     1         22.0614            690.413
           0        tcp     0     1         23.0657            681.141
           0        tcp     0     1         24.0661             679.64
           0        tcp     0     1         25.0714            684.484
           0        tcp     0     1         26.0752            681.436
           0        tcp     0     1         27.0783            690.098
           0        tcp     0     1         28.0815            690.054
           0        tcp     0     1          29.082            683.664
           0        tcp     0     1         30.0851             686.02
           0        tcp     0     1         31.0871            682.629
           0        tcp     0     1         32.0928            676.128
           0        tcp     0     1         33.0954            686.328
           0        tcp     0     1         34.0982            686.228
           0        tcp     0     1          35.104            692.291
           0        tcp     0     1         36.1046            687.671
           0        tcp     0     1         37.1105            680.049
           0        tcp     0     1         38.1142            681.511
           0        tcp     0     1         39.1187             685.01
           0        tcp     0     1         40.1223            681.577
           0        tcp     0     1         41.1257             681.78
           0        tcp     0     1         42.1271            678.949
           0        tcp     0     1         43.1285            679.008
           0        tcp     0     1         44.1306            678.526
           0        tcp     0     1         45.1315            683.382
           0        tcp     0     1         46.1347            685.912
           0        tcp     0     1         47.1397            680.673
           0        tcp     0     1         48.1412            683.014
           0        tcp     0     1         49.1435            686.522
           0        tcp     0     1          50.144            675.507
           0        tcp     0     1         51.1493            684.486
           0        tcp     0     1         52.1515            682.528
           0        tcp     0     1         53.1526            679.167
           0        tcp     0     1          54.153            683.818
           0        tcp     0     1         55.1589            679.986
           0        tcp     0     1         56.1629            681.329
           0        tcp     0     1         57.1646             686.93
           0        tcp     0     1         58.1661             683.05
           0        tcp     0     1         59.1714            680.397
           0        tcp     0     1          60.176            689.066
           0        tcp     0     1         61.1793            681.765
           0        tcp     0     1         62.1805            683.231
           0        tcp     0     1         63.1809            679.627
           0        tcp     0     1         64.1812            687.969
           0        tcp     0     1         65.1868            680.186
           0        tcp     0     1          66.191            689.354
           0        tcp     0     1         67.1962            688.665
           0        tcp     0     1         68.1985             690.63
           0        tcp     0     1         69.1996             687.33
           0        tcp     0     1         70.2007            675.103
           0        tcp     0     1         71.2064            680.196
           0        tcp     0     1         72.2113              688.8
           0        tcp     0     1          73.213            682.858
           0        tcp     0     1         74.2162            673.694
           0        tcp     0     1         75.2162             684.02
           0        tcp     0     1         76.2192            682.011
           0        tcp     0     1          77.224            684.881
           0        tcp     0     1         78.2253            683.121
           0        tcp     0     1         79.2265            683.235
           0        tcp     0     1          80.229            674.093
           0        tcp     0     1         81.2308            682.812
           0        tcp     0     1          82.231             679.83
           0        tcp     0     1          83.237            688.117
           0        tcp     0     1         84.2409            689.493
           0        tcp     0     1         85.2465            684.307
           0        tcp     0     1         86.2466            688.067
           0        tcp     0     1         87.2485            686.799
           0        tcp     0     1           88.25            683.035
           0        tcp     0     1         89.2516            687.026
           0        tcp     0     1         90.2541            686.378
           0        tcp     0     1         91.2587            689.107
           0        tcp     0     1         92.2635            688.891
           0        tcp     0     1         93.2685            680.617
           0        tcp     0     1         94.2708            686.556
           0        tcp     0     1         95.2729            690.797
           0        tcp     0     1         96.2783            692.573
           0        tcp     0     1         97.2807            682.392
           0        tcp     0     1         98.2847            685.388
           0        tcp     0     1         99.2853            683.595
           0        tcp     0     1          100.29            684.874
           0        tcp     0     1         101.295            684.872
           0        tcp     0     1         102.297             682.48
           0        tcp     0     1         103.299             686.58
           0        tcp     0     1           104.3            683.687
           0        tcp     0     1         105.301             675.12
           0        tcp     0     1         106.302            691.405
           0        tcp     0     1         107.304            682.483
           0        tcp     0     1         108.306            682.912
           0        tcp     0     1         109.306            687.967
           0        tcp     0     1         110.311             688.85
           0        tcp     0     1         111.316            676.702
           0        tcp     0     1         112.322            688.355
           0        tcp     0     1         113.322            687.523
           0        tcp     0     1         114.324            683.264
           0        tcp     0     1         115.326            682.251
           0        tcp     0     1         116.327            683.631
           0        tcp     0     1         117.327            679.839
           0        tcp     0     1          118.33            686.062
           0        tcp     0     1         119.335            680.393
           0        tcp     0     1         120.338            686.194
           0        tcp     0     1          121.34            674.532
           0        tcp     0     1          122.34            692.094
           0        tcp     0     1         123.343            682.198
           0        tcp     0     1         124.347            685.626
           0        tcp     0     1         125.352             684.49
           0        tcp     0     1         126.356            685.078
           0        tcp     0     1         127.358            690.912
           0        tcp     0     1         128.359            683.291
           0        tcp     0     1         129.362            690.612
           0        tcp     0     1         130.367            684.641
           0        tcp     0     1          131.37            689.742
           0        tcp     0     1         132.376            680.179
           0        tcp     0     1         133.378            690.479
           0        tcp     0     1         134.379            683.393
           0        tcp     0     1         135.384            680.588
           0        tcp     0     1         136.389            684.882
           0        tcp     0     1          137.39            691.499
           0        tcp     0     1         138.392            682.938
           0        tcp     0     1         139.392            683.872
           0        tcp     0     1         140.395            682.001
           0        tcp     0     1         141.398            690.493
           0        tcp     0     1         142.402            689.396
           0        tcp     0     1         143.407            684.793
           0        tcp     0     1         144.411            685.083
           0        tcp     0     1         145.412            687.164
           0        tcp     0     1         146.419            679.666
           0        tcp     0     1         147.419            683.985
           0        tcp     0     1         148.421            686.929
           0        tcp     0     1         149.421            683.826
           0        tcp     0     1         150.427            675.848
           0        tcp     0     1         151.428            679.456
           0        tcp     0     1         152.429            683.394
           0        tcp     0     1          153.43             687.13
           0        tcp     0     1         154.435            692.859
           0        tcp     0     1         155.436            691.344
           0        tcp     0     1         156.442             688.36
           0        tcp     0     1         157.446             689.57
           0        tcp     0     1         158.451            684.255
           0        tcp     0     1         159.458            687.762
           0        tcp     0     1         160.461            685.788
           0        tcp     0     1         161.467            684.082
           0        tcp     0     1         162.469            690.978
           0        tcp     0     1         163.472            686.145
           0        tcp     0     1         164.476            685.694
           0        tcp     0     1         165.477            683.075
           0        tcp     0     1         166.481            689.256
           0        tcp     0     1         167.483            678.661
           0        tcp     0     1          168.49            683.551
           0        tcp     0     1         169.492            682.859
           0        tcp     0     1         170.497             684.16
           0        tcp     0     1         171.497            688.093
           0        tcp     0     1         172.499            687.146
           0        tcp     0     1           173.5            687.627
           0        tcp     0     1         174.501            687.026
           0        tcp     0     1         175.507            684.383
           0        tcp     0     1         176.511             689.39
           0        tcp     0     1         177.512            682.856
           0        tcp     0     1         178.513            679.281
           0        tcp     0     1         179.515            686.741
           0        tcp     0     1         180.518            686.366
           0        tcp     0     1         181.521             681.85
           0        tcp     0     1         182.523            682.669
           0        tcp     0     1         183.525            690.721
           0        tcp     0     1         184.529            693.927
           0        tcp     0     1         185.534            680.274
           0        tcp     0     1         186.538            681.534
           0        tcp     0     1         187.539            691.888
           0        tcp     0     1         188.539            684.027
           0        tcp     0     1         189.539            683.645
           0        tcp     0     1         190.542            685.882
           0        tcp     0     1         191.544            686.985
           0        tcp     0     1          192.55             680.27
           0        tcp     0     1          193.55            687.866
           0        tcp     0     1         194.553            694.118
           0        tcp     0     1         195.555            678.769
           0        tcp     0     1         196.558            689.897
           0        tcp     0     1         197.561             686.53
           0        tcp     0     1         198.564            694.119
           0        tcp     0     1         199.565            687.304
           0        tcp     0     1          200.57            680.685
           0        tcp     0     1          201.57            679.815
           0        tcp     0     1         202.574            685.274
           0        tcp     0     1         203.576            691.287
           0        tcp     0     1         204.579            690.156
           0        tcp     0     1         205.584            688.241
           0        tcp     0     1         206.586            683.172
           0        tcp     0     1         207.588            678.447
           0        tcp     0     1         208.589            687.589
           0        tcp     0     1         209.592            685.691
           0        tcp     0     1         210.594            686.691
           0        tcp     0     1         211.594            688.109
           0        tcp     0     1         212.598            689.505
           0        tcp     0     1         213.604            688.371
           0        tcp     0     1         214.605            679.066
           0        tcp     0     1         215.608            694.301
           0        tcp     0     1         216.609            687.411
           0        tcp     0     1         217.611            686.661
           0        tcp     0     1         218.613             686.54
           0        tcp     0     1         219.619            688.226
           0        tcp     0     1         220.621            695.017
           0        tcp     0     1         221.623            682.572
           0        tcp     0     1         222.628            696.789
           0        tcp     0     1         223.629            687.836
           0        tcp     0     1         224.634            692.437
